,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,ら,り,る,れ,ろ,わ,ゔ,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ
あ,20,176,137,21,28,70,101,98,38,32,24,82,43,17,9,52,114,47,41,85,30,23,2,16,26,5,2,3,4,5,61,70,25,45,14,45,18,20,50,145,73,41,28,18,0,9,23,16,20,16,10,60,18,11,0,23,1,1,6,31,26,29,17,3,7,6,2,9,1,5
い,8,303,380,46,14,63,159,165,40,55,20,118,29,5,9,39,174,96,24,60,19,25,5,19,27,8,5,7,4,1,26,71,8,29,17,49,21,32,46,132,40,19,29,14,0,13,33,6,6,21,6,68,16,1,0,13,1,0,11,10,12,16,23,3,3,1,2,7,3,2
う,3,87,89,25,11,20,56,27,29,18,11,67,20,12,4,25,52,27,27,23,15,15,0,12,11,4,3,2,4,0,14,57,5,22,7,17,9,10,29,81,27,15,21,19,0,3,24,10,6,8,1,24,15,1,0,4,0,0,6,12,12,13,2,6,3,2,0,2,0,0
え,9,85,106,10,3,20,51,50,6,10,9,25,22,4,7,14,33,20,6,36,9,5,1,4,6,3,3,3,0,0,6,27,13,7,0,13,8,10,9,35,18,3,10,5,0,5,8,15,2,10,2,24,5,1,3,4,0,0,3,12,8,9,5,0,3,1,2,4,1,1
お,3,182,129,41,12,49,110,74,55,54,17,101,32,15,8,34,117,56,23,53,25,14,1,17,35,5,1,3,1,1,71,69,12,46,8,43,18,17,43,167,36,41,24,14,0,13,29,5,22,11,10,81,23,7,3,10,0,1,11,24,30,14,15,9,5,6,1,7,1,1
か,12,379,510,35,12,74,213,244,55,63,26,171,28,9,11,49,153,141,45,58,23,25,9,22,34,16,10,17,2,2,41,79,15,60,12,69,33,48,64,195,61,39,29,26,0,12,31,12,30,19,8,68,31,7,0,13,0,0,14,27,26,22,16,5,4,10,2,13,7,8
き,6,333,491,22,3,53,157,215,32,33,11,82,16,1,8,23,95,117,20,52,12,7,3,13,20,59,9,11,3,3,26,43,18,23,6,46,44,53,27,102,39,21,19,10,0,9,16,15,10,13,3,50,17,3,1,15,0,0,7,20,16,14,13,2,3,3,2,6,1,2
く,5,81,109,20,6,19,75,84,28,23,7,59,23,17,1,28,69,34,8,31,7,16,0,11,17,28,4,1,1,2,25,36,10,13,11,20,12,12,27,66,25,19,16,11,0,4,9,3,21,9,4,24,9,0,0,4,1,0,4,13,8,15,10,5,5,3,0,7,1,0
け,2,164,181,3,3,17,60,89,6,4,5,39,4,0,5,6,10,64,1,6,3,4,0,0,3,0,4,1,1,3,8,11,9,7,0,13,7,23,11,23,9,7,11,3,0,8,7,5,2,7,1,19,2,0,0,0,0,0,1,6,5,8,8,0,4,2,2,4,0,2
こ,9,313,413,30,5,60,116,188,31,43,15,86,24,2,8,36,87,132,23,89,26,17,4,14,14,13,11,8,0,4,21,40,19,26,16,44,29,36,38,98,45,17,31,7,0,9,28,8,8,11,11,73,10,4,2,9,1,1,7,26,9,14,19,2,8,3,1,3,3,2
