,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,ら,り,る,れ,ろ,わ,ゔ,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ
あ,478,992,1540,158,250,391,769,1017,168,366,176,726,1380,57,45,452,627,347,209,844,332,182,37,142,188,61,37,275,7,35,442,346,408,133,61,498,183,183,669,649,1047,144,328,308,0,118,109,195,85,106,75,303,311,67,10,229,1,8,96,525,155,104,166,44,37,35,15,120,17,13
い,117,938,1694,149,238,285,835,696,172,348,135,706,428,46,21,280,637,288,85,392,135,134,16,90,138,37,21,115,6,21,339,294,196,83,39,414,70,156,425,413,468,48,216,254,0,67,92,93,45,72,37,240,119,14,6,105,2,5,57,196,66,55,121,32,23,17,11,56,5,7
う,98,394,682,83,84,159,391,363,80,139,65,325,335,29,15,141,328,152,60,327,114,75,9,47,78,25,16,75,6,8,197,163,125,54,19,177,63,75,264,277,288,35,137,130,0,35,48,114,35,38,31,129,155,16,3,69,1,5,37,193,64,45,48,21,17,17,6,48,4,6
え,178,426,730,50,82,139,264,391,57,138,69,231,602,18,30,165,186,158,67,389,127,50,29,37,53,32,15,106,0,9,119,104,180,32,22,142,69,54,234,192,488,42,86,89,0,62,44,88,17,37,35,137,140,25,7,72,1,1,57,262,49,34,57,6,14,15,12,54,4,11
お,125,870,1826,178,241,279,768,818,203,350,124,746,491,58,24,287,637,264,94,501,143,107,21,111,135,41,23,104,2,21,462,344,224,136,55,418,81,192,418,486,457,76,265,284,0,74,101,105,68,68,59,283,155,23,8,114,5,5,55,261,108,62,128,31,29,19,9,77,10,8
か,160,1584,2800,191,267,387,1137,1194,209,457,164,946,576,49,48,312,838,511,117,492,224,156,37,100,185,68,36,135,3,36,425,345,247,143,55,605,138,293,672,663,576,94,318,301,0,87,153,129,87,87,53,298,184,30,10,155,1,8,64,220,124,94,174,41,34,41,12,77,15,18
き,74,1206,2058,125,115,262,748,935,136,243,96,516,294,25,22,165,510,380,66,313,82,88,16,85,118,96,22,58,3,17,255,211,149,63,31,313,113,219,307,305,312,42,151,156,0,50,88,81,38,61,22,205,104,16,4,74,0,4,32,173,64,65,93,18,18,17,14,56,3,7
く,78,364,715,94,109,157,399,438,80,135,60,315,413,30,9,171,306,176,61,300,84,80,11,74,66,61,15,105,3,11,214,152,136,46,34,183,85,78,273,256,385,58,137,149,0,44,39,96,58,35,21,116,127,16,1,60,1,2,30,176,48,49,51,17,22,28,10,70,7,6
け,34,547,884,23,16,99,218,393,58,48,20,149,148,4,12,61,120,181,22,90,32,24,3,12,29,12,17,18,1,11,68,38,57,17,7,100,37,75,100,83,99,14,35,28,0,19,37,34,6,37,6,119,47,2,2,11,1,0,12,54,26,24,57,1,10,6,4,21,2,3
こ,110,1419,2816,110,117,295,701,985,128,275,108,584,428,28,31,274,492,430,89,430,120,87,23,86,131,47,40,102,1,16,277,197,167,80,49,356,114,216,356,380,405,51,230,159,0,56,160,84,31,94,41,275,114,15,8,86,1,3,42,229,90,51,155,16,32,18,5,61,6,8
さ,122,810,1601,138,193,242,666,681,127,286,131,560,427,26,34,230,447,283,72,379,141,84,25,64,98,48,17,84,3,18,276,220,192,72,42,302,105,135,376,371,440,69,207,182,0,55,87,89,49,53,33,215,164,15,7,100,2,1,45,220,91,68,88,17,22,12,6,62,5,12
し,147,2144,3713,176,202,465,1246,1688,216,304,168,933,471,54,54,368,809,731,105,550,160,139,33,111,181,124,58,172,5,45,433,310,285,118,51,583,184,328,554,561,641,78,257,320,0,111,196,153,55,116,75,363,253,32,7,140,2,6,65,309,137,88,176,41,44,24,14,105,7,13
す,158,471,704,48,115,197,340,465,67,146,75,246,475,9,13,210,227,201,69,449,110,67,9,46,61,22,12,143,2,10,152,131,218,44,26,220,78,62,221,252,482,49,118,88,0,61,27,232,16,34,26,134,261,21,3,88,0,0,45,295,61,33,95,9,19,75,19,149,8,9
せ,84,921,1365,54,44,174,388,616,34,100,47,288,227,18,21,119,204,283,66,183,61,40,9,38,51,19,23,85,1,6,107,92,97,26,20,178,73,122,189,176,190,37,70,92,0,37,71,60,21,34,19,130,102,7,3,40,0,1,27,111,36,28,84,2,18,11,7,49,0,5
そ,39,409,650,32,21,69,173,290,36,43,20,132,112,9,38,43,129,129,33,110,30,36,3,38,43,14,8,34,3,12,57,49,41,29,8,134,44,57,109,92,136,19,40,61,0,26,36,49,9,20,8,50,50,2,3,35,0,0,17,59,25,13,41,9,9,3,2,20,0,7
た,65,815,1637,145,297,265,782,524,166,360,125,673,227,22,15,187,577,258,33,327,122,83,9,87,129,33,34,64,4,34,323,304,139,55,38,358,54,133,440,365,318,38,234,213,0,65,87,75,47,58,22,222,108,12,1,63,0,3,25,113,59,53,106,24,23,14,8,55,3,10
ち,59,894,1363,54,57,187,404,669,59,140,71,351,192,11,26,154,236,280,31,175,64,59,6,53,64,33,23,86,3,22,143,103,112,43,13,200,77,121,192,215,241,39,95,73,0,42,60,76,25,51,21,111,112,14,3,53,3,2,17,88,53,40,101,12,27,22,11,38,1,7
つ,14,216,400,52,72,89,230,134,47,82,31,201,64,12,6,76,167,80,34,95,31,28,3,42,55,9,7,12,1,4,97,103,35,37,16,92,17,46,120,141,99,17,69,72,0,19,37,16,39,11,4,62,24,6,0,30,1,1,11,32,22,12,26,6,17,2,0,16,1,4
て,78,461,688,39,67,105,259,325,46,82,43,190,266,18,15,96,149,144,40,211,70,39,11,32,39,14,16,40,0,5,118,72,80,33,14,128,42,54,149,175,205,46,71,56,0,33,26,68,8,23,18,82,106,8,2,31,0,1,15,84,28,23,37,10,9,7,12,38,1,10
と,110,893,1820,122,146,250,543,861,77,206,101,525,449,32,18,257,454,315,70,352,93,75,6,69,111,34,24,87,4,20,223,203,144,62,41,312,64,200,313,309,417,49,205,191,0,71,62,98,50,45,36,170,195,12,7,91,0,4,50,176,83,49,144,16,15,25,10,83,4,6
な,32,488,1018,103,156,181,497,423,109,228,105,498,192,31,7,142,429,156,46,241,85,47,3,56,77,24,8,44,4,21,198,177,81,53,28,223,38,131,262,270,238,34,183,188,0,25,53,37,49,29,12,154,74,10,8,64,1,1,32,86,37,27,62,11,13,8,2,29,0,6
に,51,1192,1254,61,61,138,446,477,43,92,37,310,251,17,20,147,315,178,39,159,53,46,4,27,66,24,10,65,1,12,175,102,97,56,12,252,48,109,191,197,204,25,90,124,0,38,63,62,24,39,17,91,86,7,3,55,0,3,11,109,31,36,98,10,13,8,2,52,3,7
ぬ,13,29,21,9,4,8,32,20,9,6,3,16,24,2,3,12,18,3,4,28,4,5,14,0,9,1,1,9,0,1,16,11,13,11,0,11,4,2,23,29,23,3,11,9,0,5,3,4,3,1,2,6,3,3,0,5,0,3,1,10,6,5,3,5,4,0,1,0,1,1
ね,30,115,178,5,7,36,51,76,16,30,19,50,107,7,1,45,55,62,18,76,16,7,2,19,9,16,3,27,0,0,41,23,49,17,3,29,12,20,47,76,84,15,38,18,0,14,15,18,7,7,14,31,34,3,0,14,0,3,4,45,15,11,18,5,5,5,5,22,0,2
の,45,160,346,32,60,69,190,159,50,90,34,115,97,9,5,56,119,65,17,112,20,13,5,28,36,8,5,16,2,3,60,58,43,15,12,68,15,29,95,90,96,17,64,37,0,11,24,34,17,8,1,40,43,5,2,20,0,0,14,64,17,20,21,6,8,0,2,16,1,3
は,70,667,1224,108,157,237,579,577,103,225,80,416,277,29,13,176,377,251,81,333,98,74,4,67,108,72,23,73,3,14,256,202,128,90,50,262,72,102,274,335,324,62,133,163,0,58,82,89,51,49,30,155,135,21,2,78,2,2,49,174,70,62,72,15,13,28,21,68,5,8
ひ,38,501,1032,76,110,188,603,488,95,183,73,485,184,15,17,136,373,211,44,192,62,50,3,45,87,10,53,34,2,6,210,195,62,83,30,214,43,79,231,266,192,31,126,144,0,33,66,48,48,40,19,123,82,11,2,56,1,2,28,66,35,38,54,16,14,5,2,36,1,6
ふ,186,695,1232,122,172,229,456,704,111,235,94,430,628,39,21,240,358,271,111,538,153,95,15,63,115,37,15,176,3,23,223,156,248,48,29,269,91,135,356,343,594,58,187,114,0,61,69,195,26,52,44,198,230,20,6,107,1,1,54,275,62,65,110,21,17,17,17,99,6,8
へ,41,207,301,6,13,35,89,142,16,26,19,68,156,4,12,44,43,61,12,113,24,17,0,17,14,9,12,18,6,6,39,17,38,8,3,38,22,32,56,62,114,12,29,17,0,12,17,37,7,11,12,30,42,5,1,18,0,0,10,85,9,14,7,6,5,6,2,18,0,2
ほ,40,509,941,51,55,147,342,432,52,99,52,299,218,12,16,99,210,171,36,193,47,44,4,25,47,21,14,38,1,30,117,96,87,26,14,125,44,73,251,164,160,23,93,69,0,31,44,69,30,34,18,89,66,9,3,36,0,1,10,103,32,46,66,7,5,10,4,36,3,3
ま,194,535,936,102,246,254,497,455,116,283,153,427,579,33,16,225,370,195,107,466,165,142,29,85,110,46,19,115,1,26,224,208,201,60,47,260,108,117,365,413,541,63,234,138,0,62,48,118,49,53,32,155,189,19,7,126,0,2,81,295,87,46,92,18,16,19,10,65,4,7
み,80,496,1031,102,163,227,563,384,109,257,71,464,303,26,16,163,469,143,50,252,75,82,13,53,99,30,10,65,2,29,227,185,121,62,38,219,56,110,357,274,309,37,155,162,0,32,63,49,40,33,23,135,119,14,4,45,1,3,30,102,49,37,83,14,13,11,7,40,0,6
む,17,195,298,25,40,60,161,152,27,37,34,144,53,3,6,53,107,57,11,68,19,33,2,19,37,10,7,25,0,2,56,57,47,17,12,66,25,26,87,77,90,18,49,40,0,20,24,14,21,12,6,44,21,5,1,16,0,0,13,48,15,13,29,4,4,1,1,6,0,2
め,66,206,305,23,29,68,95,195,14,33,24,118,235,8,9,66,62,77,34,138,40,20,9,25,29,11,4,50,0,1,52,32,83,29,7,70,34,36,97,99,206,21,53,24,0,21,18,43,4,9,20,45,63,6,1,26,0,0,21,102,19,13,23,5,6,7,2,31,4,4
も,47,261,470,54,77,99,239,237,52,105,43,191,152,16,8,74,142,92,38,203,54,42,8,31,40,34,9,39,0,6,74,86,39,33,32,120,48,49,118,176,209,45,74,61,0,35,29,36,21,26,18,88,78,7,4,26,0,0,25,80,21,17,32,11,9,8,3,11,3,5
や,15,315,723,79,165,108,333,249,73,166,62,384,103,19,10,107,311,92,21,138,55,42,6,32,40,12,6,31,2,13,118,157,52,47,41,175,34,67,173,202,131,21,125,98,0,40,51,24,21,22,13,129,55,5,0,44,0,1,23,49,46,20,52,18,10,2,1,19,0,2
ゆ,49,229,404,45,25,102,206,173,43,115,30,98,133,6,7,51,112,122,28,100,45,33,2,15,31,11,8,40,1,7,77,71,48,22,20,96,32,30,85,123,113,15,41,53,0,20,31,22,17,12,14,59,41,2,0,14,0,1,13,44,17,15,13,4,1,1,3,15,2,4
よ,17,299,709,66,103,103,286,243,63,151,69,220,86,15,12,59,203,136,15,135,34,24,3,43,36,16,11,25,0,11,85,131,48,34,18,118,22,63,125,169,112,25,85,79,0,38,40,30,13,27,5,89,52,5,3,37,0,2,17,47,29,29,42,6,6,7,0,15,1,2
ら,122,178,313,21,36,73,82,260,15,28,48,66,316,15,8,90,64,84,49,238,86,35,20,10,27,28,9,71,0,4,83,20,119,15,5,78,74,33,119,109,306,27,47,41,0,30,21,103,7,24,29,49,127,11,0,54,1,0,31,143,40,20,52,9,11,17,7,52,2,5
り,81,439,837,36,38,116,193,403,47,77,54,154,271,11,9,112,147,167,48,255,59,33,8,29,35,33,18,73,0,10,78,45,127,22,18,103,67,66,148,142,311,30,59,34,0,38,32,82,17,22,15,88,107,12,2,24,0,0,22,165,34,26,67,6,14,12,4,40,6,4
る,59,77,51,23,21,33,33,108,7,23,13,23,139,3,5,29,18,29,24,79,32,29,10,11,28,7,10,46,1,2,16,12,33,5,2,18,27,20,42,38,163,11,23,17,0,15,3,31,6,12,8,20,33,8,3,25,0,0,9,45,13,7,5,8,7,5,4,17,5,1
れ,94,227,278,21,30,67,102,236,9,48,23,49,253,7,7,72,51,97,26,170,52,28,7,23,15,3,8,43,0,2,46,19,95,13,3,61,32,35,67,72,178,20,28,19,0,31,22,56,8,20,21,46,85,2,5,35,2,0,23,135,30,7,32,2,10,9,5,23,3,4
