,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,ら,り,る,れ,ろ,わ,ゔ,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ
あ,1.0,8.478632478632479,15.714285714285714,0.8876404494382022,2.0,2.44375,10.391891891891891,13.038461538461538,4.9411764705882355,3.327272727272727,1.4426229508196722,4.938775510204081,8.734177215189874,0.6785714285714286,1.1538461538461537,6.953846153846154,10.627118644067796,24.785714285714285,2.6794871794871793,7.672727272727273,10.375,3.5686274509803924,2.8461538461538463,4.733333333333333,4.177777777777778,0.8714285714285714,0.9736842105263158,1.478494623655914,0.17073170731707318,0.875,2.2783505154639174,4.325,24.0,2.015151515151515,1.297872340425532,33.2,3.7346938775510203,10.764705882352942,5.483606557377049,8.012345679012345,17.74576271186441,1.5319148936170213,4.151898734177215,9.333333333333334,,1.7611940298507462,6.8125,2.671232876712329,3.8636363636363638,4.416666666666667,4.166666666666667,2.3488372093023258,62.2,3.9411764705882355,1.0,3.4696969696969697,inf,inf,1.0434782608695652,7.608695652173913,1.55,2.311111111111111,2.128205128205128,0.7857142857142857,0.8809523809523809,0.4268292682926829,0.4838709677419355,1.4285714285714286,0.53125,0.37142857142857144
い,0.11794354838709678,1.0,4.299492385786802,0.34976525821596244,0.2735632183908046,0.17992424242424243,0.6923714759535655,1.9120879120879122,0.31444241316270566,0.2452431289640592,0.16666666666666666,0.3292910447761194,0.9087048832271762,0.0499457111834962,0.05134474327628362,0.34355828220858897,0.7125279642058165,1.3333333333333333,0.1843817787418655,0.43896976483762595,0.2766393442622951,0.11241610738255034,0.5517241379310345,0.782608695652174,0.8625,0.05547226386806597,0.041916167664670656,0.16546762589928057,0.028985507246376812,0.0412573673870334,0.6336448598130842,0.592741935483871,1.005128205128205,0.4029126213592233,0.14942528735632185,1.3142857142857143,0.3056768558951965,0.5217391304347826,2.3876404494382024,0.9407744874715261,6.077922077922078,0.21145374449339208,0.8571428571428571,1.4350282485875707,,0.2537878787878788,0.42990654205607476,0.7265625,0.16853932584269662,0.36363636363636365,0.2890625,0.23210831721470018,3.4,0.026871401151631478,0.10344827586206896,0.1661392405063291,2.0,1.6666666666666667,0.32571428571428573,0.6049382716049383,0.29596412556053814,0.4230769230769231,0.4416058394160584,0.2857142857142857,0.1270718232044199,0.19767441860465115,0.3055555555555556,0.7466666666666667,0.15151515151515152,0.13725490196078433
う,0.06363636363636363,0.23258559622195984,1.0,0.1136986301369863,0.04600219058050383,0.05678571428571429,0.18999028182701652,0.5076923076923077,0.09049773755656108,0.049360795454545456,0.04059962523422861,0.08753029894963642,0.4758522727272727,0.021245421245421246,0.023076923076923078,0.08613317043372022,0.24064563462949376,0.38,0.0872093023255814,0.17967032967032967,0.11198428290766209,0.05980861244019139,0.42857142857142855,0.2640449438202247,0.2254335260115607,0.02042483660130719,0.015503875968992248,0.060876623376623376,0.019933554817275746,0.008501594048884165,0.21047008547008547,0.15809893307468478,0.41946308724832215,0.17704918032786884,0.04042553191489362,0.24481327800829875,0.15594059405940594,0.10578279266572638,0.8434504792332268,0.3309438470728793,5.647058823529412,0.12589928057553956,0.32009345794392524,0.38922155688622756,,0.08641975308641975,0.12276214833759591,0.5327102803738317,0.08254716981132075,0.09178743961352658,0.18452380952380953,0.08295819935691319,2.6271186440677967,0.07272727272727272,0.03125,0.09732016925246827,1.0,1.25,0.12937062937062938,0.40376569037656906,0.1792717086834734,0.20930232558139536,0.11188811188811189,0.12138728323699421,0.06093189964157706,0.17346938775510204,0.13953488372093023,0.6666666666666666,0.08695652173913043,0.10344827586206896
え,1.1265822784810127,2.859060402684564,8.795180722891565,1.0,0.4606741573033708,0.7277486910994765,2.112,4.159574468085107,2.4782608695652173,1.2545454545454546,0.5,1.3125,12.541666666666666,0.3333333333333333,0.9375,1.1379310344827587,3.4444444444444446,3.0384615384615383,1.7179487179487178,3.1885245901639343,1.233009708737864,0.819672131147541,3.2222222222222223,7.4,1.65625,0.2962962962962963,0.19736842105263158,0.8688524590163934,0.0,0.17647058823529413,1.1666666666666667,1.0196078431372548,7.2,1.391304347826087,0.4074074074074074,1.7974683544303798,1.5333333333333334,0.8181818181818182,11.142857142857142,5.333333333333333,21.217391304347824,2.0,3.0714285714285716,3.869565217391304,,2.6956521739130435,5.5,7.333333333333333,0.8095238095238095,1.6818181818181819,2.6923076923076925,1.5568181818181819,35.0,5.0,2.3333333333333335,1.8461538461538463,inf,1.0,1.9,6.55,3.5,2.6153846153846154,2.375,0.2727272727272727,1.1666666666666667,1.5,1.5,7.714285714285714,0.6666666666666666,0.5
お,0.5,3.6554621848739495,21.738095238095237,2.1707317073170733,1.0,1.0449438202247192,6.678260869565217,7.504587155963303,12.6875,2.9914529914529915,0.6424870466321243,3.6930693069306932,4.269565217391304,1.3181818181818181,1.1428571428571428,0.9663299663299664,11.175438596491228,3.6666666666666665,1.4029850746268657,3.4315068493150687,0.9166666666666666,1.7540983606557377,5.25,15.857142857142858,2.25,0.2611464968152866,0.20909090909090908,0.6046511627906976,0.15384615384615385,0.38181818181818183,1.8780487804878048,2.1104294478527605,5.6,4.689655172413793,0.7142857142857143,2.533333333333333,3.24,1.8640776699029127,11.61111111111111,12.789473684210526,21.761904761904763,2.533333333333333,9.814814814814815,5.68,,4.111111111111111,8.416666666666666,6.176470588235294,7.555555555555555,2.9565217391304346,9.833333333333334,5.66,77.5,3.2857142857142856,2.6666666666666665,3.5625,5.0,inf,1.5277777777777777,11.347826086956522,3.375,3.263157894736842,9.846153846153847,1.631578947368421,1.380952380952381,0.5428571428571428,0.375,3.347826086956522,1.25,0.6153846153846154
か,0.4092071611253197,5.557894736842106,17.61006289308176,1.3741007194244603,0.956989247311828,1.0,4.3396946564885495,7.6050955414012735,2.111111111111111,1.5491525423728814,0.6776859504132231,2.0344086021505374,2.9238578680203045,0.28160919540229884,0.6956521739130435,1.1773584905660377,4.481283422459893,5.741573033707865,1.1142857142857143,1.968,1.2375690607734806,1.1304347826086956,4.625,2.7777777777777777,2.681159420289855,0.2869198312236287,0.19148936170212766,0.5895196506550219,0.08571428571428572,0.24489795918367346,1.6732283464566928,1.5198237885462555,4.116666666666666,2.1029411764705883,0.5555555555555556,5.601851851851852,1.3529411764705883,2.8446601941747574,9.205479452054794,5.7155172413793105,17.454545454545453,1.4029850746268657,5.0476190476190474,4.703125,,1.380952380952381,6.375,3.0714285714285716,1.2608695652173914,1.891304347826087,1.962962962962963,1.3925233644859814,23.0,1.5,0.625,1.9871794871794872,inf,8.0,0.7901234567901234,3.3333333333333335,1.7464788732394365,1.709090909090909,1.6730769230769231,1.1081081081081081,0.8292682926829268,0.9111111111111111,0.48,1.673913043478261,0.75,0.6923076923076923
き,0.09622886866059818,1.444311377245509,5.263427109974424,0.4734848484848485,0.14973958333333334,0.23043095866314864,1.0,2.343358395989975,0.6238532110091743,0.3466476462196862,0.14414414414414414,0.41412520064205455,0.8647058823529412,0.06443298969072164,0.12716763005780346,0.21099744245524296,1.2623762376237624,1.6521739130434783,0.2548262548262548,0.576427255985267,0.16498993963782696,0.19730941704035873,0.5,1.6666666666666667,0.6210526315789474,0.16580310880829016,0.03648424543946932,0.12719298245614036,0.033707865168539325,0.049707602339181284,0.5130784708249497,0.3747779751332149,0.9254658385093167,0.6631578947368421,0.1297071129707113,0.93993993993994,0.5485436893203883,0.7657342657342657,3.7439024390243905,1.5803108808290156,9.454545454545455,0.4117647058823529,1.6236559139784945,1.0833333333333333,,0.45045045045045046,1.3134328358208955,1.173913043478261,0.3247863247863248,0.5258620689655172,0.3728813559322034,0.5061728395061729,6.117647058823529,0.23880597014925373,0.2222222222222222,0.4065934065934066,0.0,2.0,0.2909090909090909,1.453781512605042,0.64,0.9420289855072463,0.775,0.29508196721311475,0.21428571428571427,0.3617021276595745,0.56,2.24,0.12,0.3181818181818182
く,0.07669616519174041,0.5229885057471264,1.9696969696969697,0.24040920716112532,0.1332518337408313,0.13149078726968175,0.4267379679144385,1.0,0.2035623409669211,0.13705583756345177,0.0881057268722467,0.18661137440758294,0.8881720430107527,0.048701298701298704,0.03103448275862069,0.32633587786259544,0.45739910313901344,1.3134328358208955,0.18769230769230769,0.34843205574912894,0.19858156028368795,0.16771488469601678,0.55,0.9736842105263158,0.41509433962264153,0.10571923743500866,0.030737704918032786,0.14914772727272727,0.02112676056338028,0.02546296296296296,0.4703296703296703,0.3958333333333333,0.8947368421052632,0.2358974358974359,0.14345991561181434,0.7349397590361446,0.4913294797687861,0.32098765432098764,1.05,0.6352357320099256,3.564814814814815,0.2457627118644068,0.5092936802973977,0.8097826086956522,,0.1888412017167382,0.21666666666666667,0.5363128491620112,0.26976744186046514,0.22875816993464052,0.17355371900826447,0.1433868974042027,4.096774193548387,0.1415929203539823,0.01818181818181818,0.1834862385321101,1.0,2.0,0.12931034482758622,0.6048109965635738,0.15047021943573669,0.310126582278481,0.15501519756838905,0.1223021582733813,0.1301775147928994,0.18421052631578946,0.14084507042253522,0.5982905982905983,0.08974358974358974,0.06
け,0.20238095238095238,3.1802325581395348,11.05,0.40350877192982454,0.07881773399014778,0.47368421052631576,1.6029411764705883,4.9125,1.0,0.375,0.15748031496062992,0.6898148148148148,2.208955223880597,0.11764705882352941,0.3333333333333333,0.3674698795180723,2.0338983050847457,3.851063829787234,0.4782608695652174,1.1688311688311688,0.29357798165137616,0.5581395348837209,0.3333333333333333,0.75,0.58,0.11650485436893204,0.17894736842105263,0.16216216216216217,0.0625,0.21153846153846154,0.5862068965517241,0.3486238532110092,2.111111111111111,1.2142857142857142,0.1346153846153846,1.36986301369863,0.8604651162790697,1.1904761904761905,6.666666666666667,1.7659574468085106,14.142857142857142,1.5555555555555556,2.3333333333333335,1.0,,1.4615384615384615,5.285714285714286,3.4,1.5,1.7619047619047619,0.6666666666666666,3.1315789473684212,15.666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,1.0,0.0,0.7058823529411765,2.8421052631578947,1.0833333333333333,2.0,1.9,0.06666666666666667,0.8333333333333334,0.6,0.8,2.625,0.3333333333333333,0.75
こ,0.3005464480874317,4.077586206896552,20.258992805755394,0.7971014492753623,0.3342857142857143,0.6455142231947484,2.8847736625514404,7.296296296296297,2.6666666666666665,1.0,0.3776223776223776,1.9210526315789473,2.9315068493150687,0.28,0.7209302325581395,0.7611111111111111,3.5142857142857142,5.2439024390243905,1.0853658536585367,2.087378640776699,0.5263157894736842,0.9456521739130435,3.8333333333333335,2.8666666666666667,1.4555555555555555,0.2088888888888889,0.2185792349726776,0.4340425531914894,0.038461538461538464,0.16161616161616163,0.9787985865724381,0.7665369649805448,4.513513513513513,2.4242424242424243,0.4666666666666667,2.144578313253012,0.991304347826087,1.4304635761589404,12.714285714285714,4.935064935064935,17.608695652173914,1.0625,6.571428571428571,2.9444444444444446,,2.9473684210526314,6.153846153846154,3.36,0.96875,3.76,3.727272727272727,2.696078431372549,22.8,1.5,8.0,2.0,1.0,inf,1.05,4.403846153846154,2.4324324324324325,1.8888888888888888,4.5588235294117645,0.8421052631578947,1.8823529411764706,0.75,0.45454545454545453,2.44,0.3,0.34782608695652173
