,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,ら,り,る,れ,ろ,わ,ゔ,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ
あ,1.0,22.0,45.666666666666664,2.3333333333333335,9.333333333333334,5.833333333333333,16.833333333333332,19.6,19.0,3.5555555555555554,3.4285714285714284,13.666666666666666,5.375,8.5,3.0,52.0,57.0,47.0,13.666666666666666,42.5,15.0,3.8333333333333335,2.0,16.0,5.2,1.0,1.0,0.15789473684210525,1.3333333333333333,inf,5.545454545454546,23.333333333333332,inf,9.0,3.5,inf,3.0,inf,50.0,29.0,36.5,8.2,9.333333333333334,18.0,,4.5,inf,8.0,20.0,inf,10.0,15.0,inf,inf,,11.5,inf,inf,inf,7.75,4.333333333333333,9.666666666666666,2.4285714285714284,0.6,3.5,2.0,0.6666666666666666,2.25,0.3333333333333333,2.5
い,0.045454545454545456,1.0,4.367816091954023,0.5411764705882353,0.07692307692307693,0.1662269129287599,0.4774774774774775,2.037037037037037,0.24390243902439024,0.1757188498402556,0.08163265306122448,0.19504132231404958,0.30526315789473685,0.01968503937007874,0.06766917293233082,0.21195652173913043,0.7733333333333333,1.8461538461538463,0.15584415584415584,0.4,0.18811881188118812,0.18115942028985507,1.0,0.59375,0.9,0.041025641025641026,0.043859649122807015,0.041666666666666664,0.057971014492753624,0.008064516129032258,0.25742574257425743,0.5220588235294118,0.18604651162790697,0.5370370370370371,0.24285714285714285,0.8305084745762712,0.29577464788732394,0.32,1.1219512195121952,1.3608247422680413,2.3529411764705883,0.2345679012345679,0.43283582089552236,0.2692307692307692,,0.16666666666666666,0.4583333333333333,0.17142857142857143,0.07407407407407407,0.2441860465116279,0.15384615384615385,0.22591362126245848,0.8888888888888888,0.017857142857142856,0.0,0.12380952380952381,inf,0.0,0.36666666666666664,0.125,0.18461538461538463,0.5714285714285714,0.3333333333333333,0.1111111111111111,0.05,0.125,0.2222222222222222,0.6363636363636364,0.5,1.0
う,0.021897810218978103,0.22894736842105262,1.0,0.2358490566037736,0.08527131782945736,0.0392156862745098,0.11405295315682282,0.24770642201834864,0.16022099447513813,0.043583535108958835,0.02956989247311828,0.07545045045045046,0.24390243902439024,0.034383954154727794,0.019230769230769232,0.10080645161290322,0.15384615384615385,0.5192307692307693,0.16981132075471697,0.11855670103092783,0.15151515151515152,0.0797872340425532,,0.21818181818181817,0.22448979591836735,0.013937282229965157,0.017857142857142856,0.008438818565400843,0.05194805194805195,0.0,0.13333333333333333,0.22440944881889763,0.078125,0.39285714285714285,0.1,0.15178571428571427,0.1111111111111111,0.0684931506849315,0.4027777777777778,0.4175257731958763,3.0,0.18292682926829268,0.17355371900826447,0.36538461538461536,,0.023622047244094488,0.22641509433962265,0.23255813953488372,0.05825242718446602,0.04597701149425287,0.013157894736842105,0.0547945205479452,0.7894736842105263,0.014492753623188406,0.0,0.034782608695652174,,0.0,0.13333333333333333,0.08391608391608392,0.14814814814814814,0.17333333333333334,0.021505376344086023,0.17142857142857143,0.03529411764705882,0.5,0.0,0.3333333333333333,,
え,0.42857142857142855,1.8478260869565217,4.24,1.0,0.07317073170731707,0.5714285714285714,2.3181818181818183,2.5,2.0,0.3333333333333333,0.225,1.1363636363636365,3.6666666666666665,1.3333333333333333,1.75,0.56,3.6666666666666665,1.25,0.6,1.7142857142857142,0.5294117647058824,0.5555555555555556,0.25,inf,1.0,0.10714285714285714,0.125,0.15789473684210525,,0.0,0.2727272727272727,0.8181818181818182,3.25,1.75,0.0,1.3,0.8888888888888888,2.5,inf,8.75,inf,1.5,2.0,0.7142857142857143,,1.6666666666666667,inf,15.0,inf,1.6666666666666667,inf,2.1818181818181817,1.6666666666666667,inf,inf,4.0,,0.0,0.42857142857142855,3.0,2.6666666666666665,4.5,inf,0.0,inf,inf,inf,inf,1.0,1.0
お,0.10714285714285714,13.0,11.727272727272727,13.666666666666666,1.0,4.083333333333333,36.666666666666664,12.333333333333334,18.333333333333332,10.8,1.2142857142857142,4.208333333333333,3.2,5.0,4.0,2.8333333333333335,13.0,28.0,7.666666666666667,4.076923076923077,5.0,1.5555555555555556,inf,8.5,5.833333333333333,0.3333333333333333,0.1111111111111111,0.5,0.5,0.25,4.4375,2.0294117647058822,12.0,46.0,1.1428571428571428,2.8666666666666667,6.0,3.4,14.333333333333334,167.0,36.0,41.0,12.0,3.5,,inf,inf,5.0,22.0,2.2,10.0,16.2,inf,inf,1.5,5.0,,inf,3.6666666666666665,12.0,15.0,4.666666666666667,15.0,inf,5.0,3.0,inf,inf,inf,0.5
か,0.17142857142857143,6.015873015873016,25.5,1.75,0.24489795918367346,1.0,4.018867924528302,12.842105263157896,3.235294117647059,1.05,0.48148148148148145,1.9,0.8484848484848485,0.2,1.5714285714285714,1.0425531914893618,5.275862068965517,9.4,1.875,2.0,0.5227272727272727,0.8333333333333334,9.0,7.333333333333333,2.4285714285714284,0.2962962962962963,0.29411764705882354,0.53125,0.25,0.07142857142857142,1.0512820512820513,2.393939393939394,5.0,3.75,0.5714285714285714,3.45,2.5384615384615383,2.2857142857142856,5.818181818181818,7.8,30.5,2.4375,1.9333333333333333,2.6,,1.0,7.75,4.0,1.875,1.1875,0.8888888888888888,1.6585365853658536,inf,1.1666666666666667,0.0,1.3,,,1.4,2.4545454545454546,2.0,4.4,1.1428571428571428,1.6666666666666667,0.8,1.4285714285714286,1.0,6.5,3.5,4.0
き,0.0594059405940594,2.0943396226415096,8.767857142857142,0.43137254901960786,0.02727272727272727,0.24882629107981222,1.0,2.8666666666666667,0.5333333333333333,0.28448275862068967,0.08661417322834646,0.3319838056680162,0.2807017543859649,0.010869565217391304,0.20512820512820512,0.21296296296296297,1.0555555555555556,2.8536585365853657,0.2857142857142857,0.65,0.24489795918367346,0.08235294117647059,0.5,0.65,0.8,0.4125874125874126,0.09183673469387756,0.11956521739130435,0.125,0.05172413793103448,0.38235294117647056,0.296551724137931,0.5294117647058824,0.8214285714285714,0.15384615384615385,0.7301587301587301,1.4193548387096775,1.0,1.5,2.217391304347826,6.5,1.05,0.6785714285714286,0.5,,0.23684210526315788,0.9411764705882353,1.1538461538461537,0.4,0.30952380952380953,0.11538461538461539,0.46296296296296297,2.125,0.25,0.14285714285714285,0.5555555555555556,,0.0,0.4117647058823529,0.625,0.64,0.7368421052631579,0.8666666666666667,0.25,0.13636363636363635,0.75,1.0,6.0,1.0,1.0
く,0.05102040816326531,0.4909090909090909,4.037037037037037,0.4,0.08108108108108109,0.0778688524590164,0.3488372093023256,1.0,0.3146067415730337,0.12234042553191489,0.05511811023622047,0.14390243902439023,0.40350877192982454,0.10303030303030303,0.01282051282051282,0.26666666666666666,0.46,1.4782608695652173,0.0963855421686747,0.37349397590361444,0.15555555555555556,0.2,0.0,1.5714285714285714,0.85,0.19858156028368795,0.04,0.008928571428571428,0.02857142857142857,0.023529411764705882,0.44642857142857145,0.5142857142857142,0.3448275862068966,0.41935483870967744,0.2391304347826087,0.46511627906976744,0.3333333333333333,0.17391304347826086,0.8181818181818182,0.717391304347826,12.5,0.5277777777777778,0.3076923076923077,0.34375,,0.07272727272727272,0.19148936170212766,0.13636363636363635,0.39622641509433965,0.12162162162162163,0.12121212121212122,0.12903225806451613,1.8,0.0,0.0,0.0784313725490196,inf,0.0,0.21052631578947367,0.203125,0.13114754098360656,0.46875,0.20833333333333334,0.4166666666666667,0.14285714285714285,0.15,0.0,1.4,0.5,0.0
け,0.05263157894736842,4.1,6.241379310344827,0.5,0.05454545454545454,0.3090909090909091,1.875,3.1785714285714284,1.0,0.12903225806451613,0.15625,0.6842105263157895,0.2857142857142857,0.0,0.38461538461538464,0.25,0.5263157894736842,4.571428571428571,0.1,0.42857142857142855,0.15789473684210525,0.2,0.0,0.0,0.2727272727272727,0.0,0.12121212121212122,0.043478260869565216,1.0,0.23076923076923078,0.2962962962962963,0.3548387096774194,0.9,1.4,0.0,0.8125,0.5384615384615384,2.5555555555555554,11.0,11.5,inf,3.5,1.8333333333333333,0.3333333333333333,,1.6,7.0,1.25,inf,0.7777777777777778,0.5,2.7142857142857144,1.0,0.0,0.0,0.0,0.0,,1.0,0.75,1.0,2.6666666666666665,0.47058823529411764,0.0,0.6666666666666666,2.0,0.6666666666666666,inf,0.0,inf
こ,0.28125,5.6909090909090905,22.944444444444443,3.0,0.09259259259259259,0.9523809523809523,3.515151515151515,8.173913043478262,7.75,1.0,0.5357142857142857,1.4827586206896552,1.5,0.13333333333333333,1.6,1.0588235294117647,2.9,13.2,1.6428571428571428,3.869565217391304,1.04,1.3076923076923077,4.0,1.4,1.4,0.40625,0.3793103448275862,0.47058823529411764,0.0,0.4444444444444444,0.7241379310344828,0.7843137254901961,2.111111111111111,3.7142857142857144,0.6956521739130435,1.4193548387096775,2.9,2.25,9.5,16.333333333333332,inf,3.4,10.333333333333334,2.3333333333333335,,3.0,4.0,1.6,1.1428571428571428,0.7857142857142857,3.6666666666666665,5.214285714285714,inf,2.0,inf,1.5,1.0,inf,0.7777777777777778,1.8571428571428572,3.0,3.5,2.375,0.5,8.0,0.6,0.25,1.5,0.6,0.6666666666666666
